email_id,word_freq_will,word_freq_original,word_freq_415,word_freq_mail,char_freq_#,char_freq_$,word_freq_internet,word_freq_edu,word_freq_hp,word_freq_lab,char_freq_!,word_freq_forest,word_freq_parts,word_freq_order,word_freq_credit,word_freq_direct,word_freq_project,word_freq_neural,word_freq_table,word_freq_3d,word_freq_650,word_freq_free,word_freq_data,word_freq_over,word_freq_people,word_freq_email,char_freq_;,word_freq_1999,word_freq_857,word_freq_our,word_freq_make,word_freq_pm,word_freq_money,capital_run_length_longest,word_freq_report,word_freq_business,word_freq_font,word_freq_remove,capital_run_length_total,word_freq_meeting,word_freq_your,word_freq_85,word_freq_all,word_freq_you,word_freq_hpl,word_freq_network,word_freq_addresses,word_freq_labs,char_freq_[,word_freq_re,word_freq_telnet,word_freq_receive,word_freq_000,capital_run_length_average,word_freq_address,word_freq_george,word_freq_cs,word_freq_random,word_freq_conference,word_freq_technology,char_freq_(,is_spam
3227,1.06,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,0.26,0,0,0,0,0,0,0.26,0,0,77,0,0,0,0,172,0,0,0,0.53,0,0.26,0,0,0,0,0,0,0,0,2.646,0,0,0,0,0,0,0.039,no
2331,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,3.875,0,1.4,0,0,0,0,0.22,no
1899,0.42,0,0,0.42,0,0.39,0,0,0,0,0.244,0,0,0,0,0,0,0,0,0,0,0,0,1.27,0,0.42,0.097,0,0,0.84,0,0,0,363,0,0,0,0.42,977,0,1.27,0,0,2.11,0,0,0,0,1.171,0.42,0,0.42,3.38,26.405,0,0,0,0,0,0.42,0.097,yes
1387,0,0,0,0,0,0,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,11,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0.072,0,0,0,0,1.523,0,0,0,0,0,0,0.144,no
3555,1.94,0,0,0,0,0,0,0,0.83,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0.128,0,0,0,0,0,0,6,0,0.27,0,0,109,0,0,0,0,1.39,0.55,0,0,0.83,0,0,0,0,0,1.197,0.27,0,0,0,0,0,0,no
3206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.938,0,0,0,0,0,0,0.041,yes
3667,0.72,0,0,0,0,0,0,0.48,2.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0.24,0,0,0.067,0.96,0,0,0,0,0,44,0,0,0,0,319,0,0,0,0,0.24,1.2,0,0,0,0.067,0,0,0,0,3.322,0,0,0,0,0.24,0,0.371,no
3635,0.76,0,0,0,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.76,0,0,0,5,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0,0,0,0,0,0,0,no
2833,1.21,0.13,0,0.27,0,0,0,0,0.13,0,0.024,0,0,0,0,0,0,0,0,0,0,0.13,0,0.13,0,0,0.073,0.54,0,0.27,0,0,0,82,0,0,0,0,582,0,0.94,0,0.54,1.89,0.94,0,0,0,0,0,0,0,0,5.15,0.13,0,0,0,0,0,0.048,no
1352,0,0,0,0,0,0,0,0,0,0,0.531,0,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,87,0,2.75,0,0,0.91,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0.132,yes
2360,0.34,0,0,0,0,0.031,0,0,0.57,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0.34,0,0,0,0.047,0,0,0,0.11,0,0,32,0,0,0,0,505,0,0.23,0,0.11,0.46,0.69,0,0,0,0.031,0,0,0,0,3.196,0,0.11,0,0,0,0.11,0.159,no
162,0,0,0,0,0,0,0,0,0,0,0.817,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,39,0,1.2,0,0.6,1.8,0,0,0,0,0,0,0,0,0,1.857,0,0,0,0,0,0,0,no
